#Timestamp	T0 - GPD IFplate (C)	T1 - GPD drift (C)	T2 - GPD mech (C)	T3 - Tank TC (C)	T4 - GTC TF Outlet (C)	T5 - AC TF Outlet (C)	T6 - Ambient (C)	T7 - Tank PT100 (C)	TJulaboInternal (C)	P0 - Setra AC (mbar)	P1 - Setra Filling (mbar)	P2 - Omega AC (mbar)	P3 - Omega GTC (mbar)	PressFullrange (mbar)	P4 - MKS AC (mbar)	P5 - MKS GPD (mbar)
2024-02-16 14:54:48.940	22.64	22.44	22.14	22.44	22.99	21.96	22.21	20.83	22.27	 903.70	  -0.29	1185.63	1008.64	6.300E-6	1195.66	   0.10
2024-02-16 14:54:49.939	22.62	22.43	22.15	22.96	22.99	21.95	22.20	20.84	22.27	 904.16	  -0.29	1184.18	1010.11	5.400E-6	1195.68	   0.10
2024-02-16 14:54:50.939	22.57	22.46	22.14	22.47	22.98	21.93	22.17	20.87	22.27	 904.29	  -0.29	1184.98	1009.41	5.900E-6	1195.73	   0.10
2024-02-16 14:54:51.939	22.51	22.50	22.12	22.18	23.02	21.96	22.15	20.92	22.27	 903.81	  -0.29	1185.63	1009.74	5.700E-6	1195.72	   0.10
2024-02-16 14:54:52.939	22.51	22.54	22.12	22.26	23.06	21.96	22.13	20.91	22.27	 904.58	  -0.29	1184.83	1010.72	5.900E-6	1195.70	   0.11
2024-02-16 14:54:53.940	22.52	22.51	22.18	22.46	23.00	22.00	22.17	20.88	22.27	 904.35	  -0.29	1185.30	1009.86	6.300E-6	1195.71	   0.12
2024-02-16 14:54:54.941	22.60	22.50	22.20	22.53	22.97	22.02	22.23	20.88	22.27	 903.01	  -0.29	1185.23	1008.92	6.500E-6	1195.71	   0.12
2024-02-16 14:54:55.942	22.65	22.48	22.09	22.16	23.02	21.95	22.18	20.91	22.27	 903.34	  -0.29	1184.80	1010.27	6.400E-6	1195.70	   0.12
2024-02-16 14:54:56.942	22.59	22.44	22.03	22.18	23.05	21.89	22.13	20.98	22.27	 904.07	  -0.29	1185.34	1009.33	6.700E-6	1195.68	   0.12
2024-02-16 14:54:57.941	22.52	22.45	22.03	22.61	23.04	21.86	22.09	20.97	22.27	 904.01	  -0.29	1185.66	1008.11	6.600E-6	1195.70	   0.11
